producto_id,codigo,producto,categoria,predicciones,demanda_real,prediccion_rf,prediccion_baseline,mae_rf,mae_baseline,error_absoluto_rf,rotacion,wape_rf,gana,horizonte_dias
DS-P042,FER-042,"Machete 22""",Jardinería,14,630.0000,498.7832,575.3571,13.8892,12.5357,194.4489,media,0.3086,baseline,30
e6d66d11-b7e0-4153-81fa-62a11cef4515,PLO-001,"Tubo PVC 1/2"" x 6 m",Plomería,14,1902.0000,1744.9820,1812.8571,13.8363,12.3061,193.7077,alta,0.1018,baseline,30
DS-P038,FER-038,"Taquete plástico 1/4"" (bolsa 100 u)",Tornillería,14,619.0000,677.0631,602.1429,13.2232,13.1327,185.1245,media,0.2991,baseline,30
765694c8-9734-462c-a35f-797118e2e09e,PIN-001,Pintura acrílica blanca 1 galón,Pinturas,14,699.0000,858.4497,811.0714,12.7360,13.4337,178.3036,media,0.2551,random_forest,30
DS-P045,FER-045,Guantes de cuero (par),Seguridad,14,405.0000,564.4204,477.8571,12.5174,7.5510,175.2429,media,0.4327,baseline,30
DS-P018,FER-018,"Cinta aislante 3/4"" x 20 m",Eléctrico,14,1437.0000,1338.2135,1372.5000,10.5455,11.9847,147.6367,alta,0.1027,random_forest,30
DS-P027,FER-027,"Llave ajustable 10""",Herramientas,14,256.0000,303.8695,268.9286,10.3045,9.8316,144.2635,baja,0.5635,baseline,30
DS-P033,FER-033,Diluyente (thinner) 1 galón,Pinturas,14,398.0000,482.3055,416.7857,9.7768,10.7398,136.8752,media,0.3439,random_forest,30
DS-P016,FER-016,Interruptor sencillo,Eléctrico,14,807.0000,840.3219,850.7143,9.6471,11.5408,135.0594,media,0.1674,random_forest,30
DS-P013,FER-013,Malla electrosoldada 6x6 (lámina),Construcción,14,271.0000,323.1853,290.3571,9.3613,8.7398,131.0577,media,0.4836,baseline,30
DS-P035,FER-035,"Rodillo 9"" con bandeja",Pinturas,14,476.0000,589.1920,513.2143,9.0604,9.9031,126.8459,media,0.2665,random_forest,30
DS-P048,FER-048,Silicón transparente 280 ml,Adhesivos y Selladores,14,362.0000,463.7059,407.1429,8.4504,6.7857,118.3062,media,0.3268,baseline,30
DS-P022,FER-022,Pegamento PVC 1/4 galón,Plomería,14,1139.0000,1161.4255,1090.7143,8.2571,13.2755,115.5998,alta,0.1015,random_forest,30
DS-P025,FER-025,"Alicate universal 8""",Herramientas,14,341.0000,312.3707,355.7143,8.1303,9.7449,113.8239,media,0.3338,random_forest,30
DS-P049,FER-049,Adhesivo de contacto 1/4 galón,Adhesivos y Selladores,14,179.0000,277.9459,205.7143,7.8261,7.0510,109.5657,media,0.6121,baseline,30
DS-P015,FER-015,Tomacorriente doble polarizado,Eléctrico,14,813.0000,803.9123,846.4286,7.4064,13.1633,103.6894,media,0.1275,random_forest,30
DS-P050,FER-050,Pegamento epóxico 2 componentes,Adhesivos y Selladores,14,157.0000,258.9957,197.1429,7.3739,6.3061,103.2346,baja,0.6575,baseline,30
DS-P032,FER-032,Pintura de aceite color 1 galón,Pinturas,14,210.0000,247.3957,204.6429,6.3302,3.9439,88.6232,media,0.4220,baseline,30
DS-P023,FER-023,"Llave de paso 1/2""",Plomería,14,493.0000,442.3188,497.1429,6.2776,7.0204,87.8859,media,0.1783,random_forest,30
DS-P039,FER-039,"Bisagra de acero 3"" (par)",Cerrajería,14,573.0000,540.2486,553.9286,5.8885,8.2908,82.4385,media,0.1439,random_forest,30
DS-P026,FER-026,Destornillador de estrella #2,Herramientas,14,400.0000,425.7731,429.6429,5.8018,7.1888,81.2250,media,0.2031,random_forest,30
DS-P043,FER-043,Rastrillo metálico 16 dientes,Jardinería,14,148.0000,179.4531,161.7857,5.4316,5.7500,76.0423,baja,0.5138,random_forest,30
0952bcea-dcc1-484d-b422-b1a41871f4be,CER-001,Candado de bronce 40 mm,Cerrajería,14,251.0000,277.2142,274.2857,5.0942,7.3367,71.3186,media,0.2841,random_forest,30
9acb88c2-673a-4ca9-b665-b129976958bd,HER-001,Martillo de uña 16 oz,Herramientas,14,392.0000,419.3509,418.9286,4.4928,5.1786,62.8987,media,0.1605,random_forest,30
DS-P041,FER-041,Pala cuadrada con mango,Jardinería,14,257.0000,276.3834,261.4286,4.4221,6.8571,61.9094,media,0.2409,random_forest,30
30cf2d34-7ddc-45a8-9eac-4a9fc4cfa3f5,ELE-001,Cable THHN #12 (rollo 100 m),Eléctrico,14,108.0000,153.1286,106.0714,4.0106,5.2602,56.1480,baja,0.5199,random_forest,30
DS-P040,FER-040,Cerradura de pomo para puerta,Cerrajería,14,165.0000,186.5600,162.8571,3.8214,4.7245,53.5001,baja,0.3242,random_forest,30
126b5449-9df4-496e-a1b9-f527a5ea0c0a,CER-023,Candado de bronce 40 mm,Cerrajería,14,372.0000,392.7409,378.2143,3.5255,4.0459,49.3575,media,0.1327,random_forest,30
DS-P044,FER-044,"Manguera de jardín 1/2"" x 15 m",Jardinería,14,176.0000,147.7192,161.7857,3.4543,4.0969,48.3602,baja,0.2748,random_forest,30
DS-P046,FER-046,Lentes de seguridad claros,Seguridad,14,302.0000,344.8922,323.5714,3.1987,3.2857,44.7815,media,0.1483,random_forest,30
DS-P012,FER-012,Impermeabilizante acrílico 1 galón,Construcción,14,240.0000,213.7485,212.1429,3.0996,4.2143,43.3940,baja,0.1808,random_forest,30
DS-P047,FER-047,Casco de seguridad,Seguridad,14,186.0000,215.4945,214.2857,2.7985,3.1327,39.1788,baja,0.2106,random_forest,30
DS-P024,FER-024,Grifo metálico para lavamanos,Plomería,14,136.0000,156.4305,139.2857,2.3953,2.5204,33.5344,baja,0.2466,random_forest,30
DS-P017,FER-017,Breaker 20 A enchufable,Eléctrico,14,344.0000,373.2816,358.9286,2.2187,3.7602,31.0621,media,0.0903,random_forest,30
DS-P028,FER-028,"Taladro percutor 1/2"" 750 W",Herramientas Eléctricas,14,51.0000,59.9614,54.6429,1.4064,2.1071,19.6900,baja,0.3861,random_forest,30
DS-P030,FER-030,"Sierra circular 7-1/4""",Herramientas Eléctricas,14,31.0000,30.1248,34.2857,1.2815,1.3265,17.9412,baja,0.5787,random_forest,30
DS-P029,FER-029,"Pulidora angular 4-1/2""",Herramientas Eléctricas,14,41.0000,32.6033,37.5000,1.1790,1.4439,16.5062,baja,0.4026,random_forest,30
DS-P031,FER-031,Rotomartillo SDS 800 W,Herramientas Eléctricas,14,25.0000,27.2145,20.3571,1.1555,1.7500,16.1770,baja,0.6471,random_forest,30
